index,date,user_submitted_review,title,total_purchased,distribution_channel,author
37,2019-05-09,5.0,10% Happier,4.0,Online,Dan Harris
38,2019-02-18,3.0,The 10X Rule,4.0,In-Person,Grant Cardone
40,2019-05-19,1.0,A Technique for Producing Ideas,2.0,Online,James Webb Young
41,2019-04-19,1.0,The 10X Rule,4.0,Online,Grant Cardone
42,2019-03-10,1.0,A Technique for Producing Ideas,2.0,In-Person,James Webb Young
43,2019-11-18,,The 10X Rule,7.0,In-Person,Grant Cardone
44,2019-03-16,5.0,The Art of Profitability,3.0,In-Person,Adrian Slywotzky
45,2019-01-16,3.0,The 10X Rule,6.0,Online,Grant Cardone
46,2019-12-16,,The 10X Rule,5.0,Online,Grant Cardone
47,2019-05-10,,A Technique for Producing Ideas,1.0,Online,James Webb Young
48,2019-08-22,1.0,A Technique for Producing Ideas,6.0,Online,James Webb Young
49,2019-04-19,,A Technique for Producing Ideas,4.0,In-Person,James Webb Young
50,2019-04-23,5.0,A Technique for Producing Ideas,2.0,Online,James Webb Young
51,2019-03-11,1.0,A Technique for Producing Ideas,3.0,In-Person,James Webb Young
52,2019-10-12,3.0,The 10X Rule,6.0,In-Person,Grant Cardone
53,2019-11-21,,A Technique for Producing Ideas,4.0,Online,James Webb Young
54,2019-06-07,4.0,The 10X Rule,5.0,Online,Grant Cardone
55,2019-09-23,,A Technique for Producing Ideas,4.0,Online,James Webb Young
56,2019-06-25,3.0,A Technique for Producing Ideas,5.0,Online,James Webb Young
57,2019-07-06,3.0,The 10X Rule,6.0,Online,Grant Cardone
58,2019-11-27,3.0,10% Happier,3.0,Online,Dan Harris
59,2019-10-22,,The Art of Profitability,1.0,In-Person,Adrian Slywotzky
60,2019-08-16,,The 10X Rule,7.0,In-Person,Grant Cardone
61,2019-03-12,3.0,The Art of Profitability,5.0,In-Person,Adrian Slywotzky
62,2019-04-25,1.0,The 10X Rule,2.0,In-Person,Grant Cardone
63,2019-02-14,5.0,10% Happier,1.0,Online,Dan Harris
64,2019-08-17,2.0,A Technique for Producing Ideas,5.0,In-Person,James Webb Young
65,2019-01-03,,A Technique for Producing Ideas,6.0,Online,James Webb Young
66,2019-09-23,5.0,The 10X Rule,5.0,Online,Grant Cardone
67,2019-02-22,,A Technique for Producing Ideas,8.0,Online,James Webb Young
68,2019-09-25,5.0,A Technique for Producing Ideas,3.0,Online,James Webb Young
70,2019-08-01,3.0,A Technique for Producing Ideas,1.0,Online,James Webb Young
71,2019-01-04,5.0,The 10X Rule,1.0,Online,Grant Cardone
72,2019-09-15,3.0,The Art of Profitability,1.0,Online,Adrian Slywotzky
73,2019-03-28,5.0,A Technique for Producing Ideas,1.0,In-Person,James Webb Young
74,2019-12-15,4.0,The 10X Rule,1.0,Online,Grant Cardone
75,2019-06-24,1.0,10% Happier,2.0,Online,Dan Harris
76,2019-05-31,4.0,10% Happier,7.0,Online,Dan Harris
79,2019-06-29,4.0,The 10X Rule,3.0,Online,Grant Cardone
80,2019-12-21,3.0,The Art of Profitability,2.0,Online,Adrian Slywotzky
81,2019-08-12,,A Technique for Producing Ideas,8.0,Online,James Webb Young
82,2019-11-07,5.0,A Technique for Producing Ideas,4.0,In-Person,James Webb Young
83,2019-03-07,,A Technique for Producing Ideas,3.0,In-Person,James Webb Young
84,2019-09-15,4.0,The 10X Rule,2.0,Online,Grant Cardone
85,2019-01-19,4.0,10% Happier,2.0,Online,Dan Harris
86,2019-07-27,2.0,A Technique for Producing Ideas,2.0,In-Person,James Webb Young
87,2019-04-11,1.0,A Technique for Producing Ideas,7.0,In-Person,James Webb Young
88,2019-05-06,1.0,The 10X Rule,4.0,Online,Grant Cardone
89,2019-01-02,,10% Happier,2.0,In-Person,Dan Harris
90,2019-06-13,5.0,10% Happier,3.0,Online,Dan Harris
91,2019-02-24,4.0,10% Happier,5.0,In-Person,Dan Harris
92,2019-10-29,5.0,10% Happier,2.0,Online,Dan Harris
93,2019-10-08,1.0,A Technique for Producing Ideas,3.0,In-Person,James Webb Young
94,2019-10-04,5.0,The 10X Rule,4.0,In-Person,Grant Cardone
95,2019-05-27,2.0,The Compound Effect,2.0,Online,Darren Hardy
96,2019-02-07,3.0,The 10X Rule,5.0,Online,Grant Cardone
97,2019-11-24,2.0,A Technique for Producing Ideas,2.0,Online,James Webb Young
98,2019-01-09,3.0,The Art of Profitability,2.0,In-Person,Adrian Slywotzky
100,2019-07-25,5.0,The 10X Rule,2.0,Online,Grant Cardone
101,2019-12-21,3.0,A Technique for Producing Ideas,5.0,Online,James Webb Young
103,2019-06-10,,A Technique for Producing Ideas,3.0,In-Person,James Webb Young
105,2019-04-04,5.0,The 10X Rule,1.0,In-Person,Grant Cardone
106,2019-09-17,3.0,A Technique for Producing Ideas,5.0,Online,James Webb Young
107,2019-08-25,3.0,A Technique for Producing Ideas,2.0,Online,James Webb Young
108,2019-11-27,5.0,The Art of War,3.0,Online,Sun Tzu
109,2019-05-27,3.0,A Technique for Producing Ideas,3.0,Online,James Webb Young
111,2019-04-02,4.0,A Technique for Producing Ideas,2.0,In-Person,James Webb Young
112,2019-11-14,3.0,A Technique for Producing Ideas,3.0,Online,James Webb Young
113,2019-10-01,,10% Happier,4.0,Online,Dan Harris
114,2019-08-13,,A Technique for Producing Ideas,2.0,In-Person,James Webb Young
116,2019-02-08,4.0,10% Happier,5.0,Online,Dan Harris
118,2019-07-01,5.0,10% Happier,7.0,In-Person,Dan Harris
119,2019-04-20,5.0,The Art of Profitability,5.0,In-Person,Adrian Slywotzky
120,2019-12-07,1.0,A Technique for Producing Ideas,3.0,In-Person,James Webb Young
122,2019-04-09,,A Technique for Producing Ideas,9.0,Online,James Webb Young
123,2019-09-10,,10% Happier,8.0,In-Person,Dan Harris
124,2019-03-01,3.0,A Technique for Producing Ideas,4.0,Online,James Webb Young
125,2019-06-14,5.0,The 10X Rule,7.0,In-Person,Grant Cardone
126,2019-05-22,4.0,The Art of Profitability,7.0,Online,Adrian Slywotzky
127,2019-12-13,1.0,The 10X Rule,6.0,In-Person,Grant Cardone
128,2019-07-08,3.0,A Technique for Producing Ideas,2.0,Online,James Webb Young
130,2019-12-01,5.0,The Art of Profitability,5.0,Online,Adrian Slywotzky
131,2019-07-16,5.0,The 10X Rule,2.0,Online,Grant Cardone
132,2019-10-23,3.0,The 10X Rule,4.0,In-Person,Grant Cardone
133,2019-01-17,,The 10X Rule,6.0,Online,Grant Cardone
134,2019-10-04,5.0,The 10X Rule,5.0,Online,Grant Cardone
135,2019-03-04,,The 10X Rule,5.0,Online,Grant Cardone
136,2019-12-02,3.0,A Technique for Producing Ideas,8.0,Online,James Webb Young
138,2019-01-06,4.0,A Technique for Producing Ideas,7.0,In-Person,James Webb Young
139,2019-11-19,5.0,The 10X Rule,4.0,In-Person,Grant Cardone
140,2019-10-16,5.0,The 10X Rule,5.0,Online,Grant Cardone
141,2019-04-06,4.0,The 10X Rule,3.0,Online,Grant Cardone
142,2019-11-16,1.0,A Technique for Producing Ideas,4.0,Online,James Webb Young
143,2019-04-18,4.0,The 10X Rule,2.0,In-Person,Grant Cardone
144,2019-10-23,5.0,10% Happier,3.0,Online,Dan Harris
145,2019-01-31,3.0,A Technique for Producing Ideas,3.0,In-Person,James Webb Young
146,2019-09-08,2.0,The 10X Rule,4.0,In-Person,Grant Cardone
147,2019-06-03,5.0,The 10X Rule,2.0,In-Person,Grant Cardone
148,2019-06-14,5.0,A Technique for Producing Ideas,5.0,In-Person,James Webb Young
149,2019-01-14,4.0,The Art of Profitability,3.0,Online,Adrian Slywotzky
150,2019-09-17,,The 10X Rule,3.0,Online,Grant Cardone
151,2019-04-19,3.0,The 10X Rule,3.0,In-Person,Grant Cardone
152,2019-03-15,3.0,The Art of Profitability,4.0,Online,Adrian Slywotzky
153,2019-01-10,4.0,A Technique for Producing Ideas,3.0,In-Person,James Webb Young
154,2019-06-30,4.0,The 10X Rule,6.0,Online,Grant Cardone
156,2019-12-11,1.0,The 10X Rule,3.0,In-Person,Grant Cardone
157,2019-07-22,5.0,The Art of Profitability,2.0,Online,Adrian Slywotzky
158,2019-03-24,,10% Happier,7.0,Online,Dan Harris
160,2019-06-29,1.0,The 10X Rule,1.0,In-Person,Grant Cardone
161,2019-10-24,5.0,The 10X Rule,2.0,Online,Grant Cardone
162,2019-03-22,4.0,The Art of Profitability,2.0,Online,Adrian Slywotzky
164,2019-05-09,5.0,The 10X Rule,6.0,Online,Grant Cardone
165,2019-10-25,5.0,The 10X Rule,2.0,Online,Grant Cardone
166,2019-01-12,3.0,A Technique for Producing Ideas,1.0,In-Person,James Webb Young
167,2019-04-16,,A Technique for Producing Ideas,6.0,Online,James Webb Young
169,2019-10-13,4.0,A Technique for Producing Ideas,3.0,In-Person,James Webb Young
170,2019-08-07,3.0,The Art of Profitability,5.0,Online,Adrian Slywotzky
171,2019-10-05,,The 10X Rule,5.0,Online,Grant Cardone
172,2019-06-30,,10% Happier,2.0,Online,Dan Harris
174,2019-11-27,5.0,The 10X Rule,9.0,Online,Grant Cardone
175,2019-05-03,4.0,A Technique for Producing Ideas,5.0,Online,James Webb Young
176,2019-10-26,2.0,The 10X Rule,6.0,Online,Grant Cardone
177,2019-04-07,5.0,A Technique for Producing Ideas,3.0,Online,James Webb Young
178,2019-06-29,,A Technique for Producing Ideas,1.0,Online,James Webb Young
179,2019-02-20,5.0,The Art of War,7.0,Online,Sun Tzu
180,2019-04-27,4.0,A Technique for Producing Ideas,7.0,Online,James Webb Young
181,2019-07-12,2.0,The 10X Rule,3.0,Online,Grant Cardone
182,2019-08-13,3.0,The 10X Rule,5.0,Online,Grant Cardone
183,2019-05-18,,A Technique for Producing Ideas,2.0,Online,James Webb Young
184,2019-04-04,5.0,The Art of Profitability,5.0,In-Person,Adrian Slywotzky
185,2019-08-11,5.0,A Technique for Producing Ideas,3.0,Online,James Webb Young
186,2019-06-21,1.0,The 10X Rule,5.0,Online,Grant Cardone
189,2019-02-28,,A Technique for Producing Ideas,3.0,Online,James Webb Young
190,2019-02-12,4.0,A Technique for Producing Ideas,5.0,In-Person,James Webb Young
191,2019-03-01,2.0,The 10X Rule,3.0,Online,Grant Cardone
192,2019-09-09,4.0,A Technique for Producing Ideas,2.0,In-Person,James Webb Young
193,2019-01-11,5.0,A Technique for Producing Ideas,6.0,Online,James Webb Young
195,2019-07-16,5.0,A Technique for Producing Ideas,2.0,Online,James Webb Young
197,2019-12-16,5.0,A Technique for Producing Ideas,4.0,Online,James Webb Young
198,2019-09-27,4.0,The 10X Rule,7.0,In-Person,Grant Cardone
199,2019-08-14,5.0,10% Happier,5.0,Online,Dan Harris
200,2019-12-11,2.0,The 10X Rule,4.0,Online,Grant Cardone
201,2019-01-31,1.0,A Technique for Producing Ideas,4.0,Online,James Webb Young
202,2019-12-29,1.0,The Art of Profitability,5.0,Online,Adrian Slywotzky
203,2019-04-23,5.0,The 10X Rule,6.0,Online,Grant Cardone
204,2019-05-11,3.0,The 10X Rule,4.0,In-Person,Grant Cardone
205,2019-01-18,4.0,A Technique for Producing Ideas,4.0,Online,James Webb Young
206,2019-04-29,,10% Happier,3.0,In-Person,Dan Harris
207,2019-07-11,3.0,The Art of Profitability,5.0,In-Person,Adrian Slywotzky
208,2019-06-08,3.0,The Art of Profitability,7.0,Online,Adrian Slywotzky
209,2019-10-01,,A Technique for Producing Ideas,3.0,In-Person,James Webb Young
210,2019-09-06,,The 10X Rule,4.0,In-Person,Grant Cardone
212,2019-07-13,3.0,A Technique for Producing Ideas,4.0,Online,James Webb Young
215,2019-12-13,,The Art of Profitability,3.0,In-Person,Adrian Slywotzky
216,2019-03-21,1.0,The Art of Profitability,5.0,In-Person,Adrian Slywotzky
217,2019-03-31,4.0,The Art of Profitability,6.0,Online,Adrian Slywotzky
218,2019-05-28,2.0,The Art of Profitability,4.0,Online,Adrian Slywotzky
219,2019-06-19,1.0,A Technique for Producing Ideas,6.0,Online,James Webb Young
220,2019-06-13,,A Technique for Producing Ideas,5.0,Online,James Webb Young
221,2019-04-09,5.0,A Technique for Producing Ideas,1.0,Online,James Webb Young
223,2019-07-20,,A Technique for Producing Ideas,3.0,Online,James Webb Young
224,2019-04-08,5.0,The 10X Rule,6.0,In-Person,Grant Cardone
225,2019-10-09,5.0,A Technique for Producing Ideas,2.0,Online,James Webb Young
226,2019-02-16,1.0,The 10X Rule,4.0,Online,Grant Cardone
227,2019-05-11,4.0,A Technique for Producing Ideas,3.0,In-Person,James Webb Young
228,2019-05-16,4.0,A Technique for Producing Ideas,9.0,Online,James Webb Young
229,2019-10-24,5.0,The 10X Rule,2.0,Online,Grant Cardone
230,2019-04-04,5.0,The 10X Rule,7.0,In-Person,Grant Cardone
231,2019-03-05,4.0,A Technique for Producing Ideas,1.0,Online,James Webb Young
232,2019-06-20,,The 10X Rule,4.0,In-Person,Grant Cardone
233,2019-09-22,5.0,The 10X Rule,3.0,Online,Grant Cardone
234,2019-04-14,2.0,A Technique for Producing Ideas,3.0,Online,James Webb Young
236,2019-01-02,4.0,A Technique for Producing Ideas,5.0,Online,James Webb Young
237,2019-05-31,4.0,A Technique for Producing Ideas,2.0,Online,James Webb Young
238,2019-08-21,5.0,10% Happier,5.0,Online,Dan Harris
239,2019-07-09,3.0,The 10X Rule,10.0,Online,Grant Cardone
241,2019-09-20,2.0,The 10X Rule,6.0,In-Person,Grant Cardone
243,2019-02-10,,The 10X Rule,4.0,In-Person,Grant Cardone
244,2019-03-16,5.0,The 10X Rule,6.0,Online,Grant Cardone
245,2019-01-03,,The 10X Rule,4.0,In-Person,Grant Cardone
246,2019-07-21,1.0,A Technique for Producing Ideas,4.0,Online,James Webb Young
247,2019-09-11,5.0,A Technique for Producing Ideas,3.0,In-Person,James Webb Young
249,2019-04-17,5.0,A Technique for Producing Ideas,2.0,Online,James Webb Young
250,2019-03-17,4.0,10% Happier,2.0,In-Person,Dan Harris
251,2019-04-16,2.0,10% Happier,2.0,Online,Dan Harris
253,2019-11-18,4.0,The Art of Profitability,2.0,Online,Adrian Slywotzky
254,2019-01-07,2.0,The 10X Rule,4.0,Online,Grant Cardone
255,2019-09-05,5.0,The 10X Rule,6.0,Online,Grant Cardone
256,2019-06-09,1.0,The 10X Rule,7.0,Online,Grant Cardone
258,2019-09-20,5.0,The 10X Rule,7.0,Online,Grant Cardone
259,2019-07-20,3.0,The 10X Rule,4.0,Online,Grant Cardone
260,2019-05-25,,The 10X Rule,4.0,Online,Grant Cardone
261,2019-04-05,3.0,The 10X Rule,3.0,In-Person,Grant Cardone
262,2019-11-24,1.0,10% Happier,6.0,In-Person,Dan Harris
263,2019-02-04,1.0,The Art of War,2.0,Online,Sun Tzu
265,2019-07-29,2.0,The 10X Rule,11.0,Online,Grant Cardone
266,2019-02-21,3.0,A Technique for Producing Ideas,4.0,Online,James Webb Young
267,2019-04-06,2.0,10% Happier,1.0,In-Person,Dan Harris
268,2019-03-05,3.0,A Technique for Producing Ideas,4.0,Online,James Webb Young
269,2019-11-28,4.0,A Technique for Producing Ideas,1.0,Online,James Webb Young
270,2019-08-22,4.0,A Technique for Producing Ideas,2.0,Online,James Webb Young
271,2019-10-24,5.0,The Art of War,2.0,In-Person,Sun Tzu
272,2019-07-30,2.0,10% Happier,0.0,Online,Dan Harris
273,2019-11-02,4.0,A Technique for Producing Ideas,3.0,Online,James Webb Young
274,2019-08-09,5.0,A Technique for Producing Ideas,4.0,Online,James Webb Young
275,2019-12-25,3.0,10% Happier,6.0,In-Person,Dan Harris
276,2019-01-06,3.0,A Technique for Producing Ideas,7.0,Online,James Webb Young
277,2019-04-22,5.0,The Art of Profitability,7.0,In-Person,Adrian Slywotzky
278,2019-12-02,5.0,The 10X Rule,6.0,In-Person,Grant Cardone
279,2019-02-20,,The Compound Effect,9.0,In-Person,Darren Hardy
280,2019-03-02,3.0,A Technique for Producing Ideas,3.0,Online,James Webb Young
281,2019-01-15,5.0,The 10X Rule,3.0,Online,Grant Cardone
282,2019-07-02,3.0,The Art of Profitability,7.0,Online,Adrian Slywotzky
283,2019-05-01,4.0,A Technique for Producing Ideas,4.0,Online,James Webb Young
284,2019-11-01,3.0,The 10X Rule,4.0,Online,Grant Cardone
285,2019-01-23,2.0,The Art of Profitability,3.0,In-Person,Adrian Slywotzky
286,2019-01-23,1.0,The 10X Rule,4.0,In-Person,Grant Cardone
287,2019-12-11,5.0,A Technique for Producing Ideas,6.0,In-Person,James Webb Young
288,2019-03-27,1.0,The 10X Rule,1.0,Online,Grant Cardone
289,2019-12-17,5.0,A Technique for Producing Ideas,6.0,Online,James Webb Young
290,2019-08-26,3.0,The 10X Rule,3.0,Online,Grant Cardone
291,2019-08-02,5.0,The Art of Profitability,5.0,Online,Adrian Slywotzky
292,2019-02-08,4.0,A Technique for Producing Ideas,7.0,In-Person,James Webb Young
293,2019-04-10,5.0,A Technique for Producing Ideas,8.0,In-Person,James Webb Young
294,2019-04-04,4.0,A Technique for Producing Ideas,3.0,Online,James Webb Young
295,2019-06-06,2.0,The Art of Profitability,1.0,Online,Adrian Slywotzky
296,2019-06-27,4.0,The Art of Profitability,5.0,In-Person,Adrian Slywotzky
297,2019-03-18,3.0,A Technique for Producing Ideas,8.0,Online,James Webb Young
298,2019-09-22,2.0,10% Happier,7.0,Online,Dan Harris
299,2019-04-13,4.0,10% Happier,3.0,In-Person,Dan Harris
300,2019-11-22,3.0,A Technique for Producing Ideas,5.0,In-Person,James Webb Young
301,2019-07-20,4.0,The Art of Profitability,7.0,Online,Adrian Slywotzky
302,2019-08-02,3.0,The 10X Rule,4.0,In-Person,Grant Cardone
303,2019-08-19,2.0,10% Happier,4.0,Online,Dan Harris
304,2019-04-02,1.0,10% Happier,5.0,Online,Dan Harris
305,2019-12-01,1.0,A Technique for Producing Ideas,5.0,Online,James Webb Young
306,2019-03-11,4.0,The 10X Rule,5.0,Online,Grant Cardone
307,2019-05-02,3.0,The 10X Rule,3.0,Online,Grant Cardone
308,2019-08-05,3.0,A Technique for Producing Ideas,1.0,Online,James Webb Young
309,2019-07-02,,A Technique for Producing Ideas,1.0,In-Person,James Webb Young
310,2019-12-07,3.0,10% Happier,2.0,Online,Dan Harris
311,2019-11-06,4.0,The 10X Rule,4.0,In-Person,Grant Cardone
312,2019-10-16,,The 10X Rule,4.0,Online,Grant Cardone
313,2019-08-21,3.0,The Art of War,6.0,Online,Sun Tzu
315,2019-02-19,,The Art of Profitability,7.0,Online,Adrian Slywotzky
316,2019-09-28,3.0,A Technique for Producing Ideas,3.0,In-Person,James Webb Young
317,2019-04-25,5.0,A Technique for Producing Ideas,5.0,In-Person,James Webb Young
318,2019-06-10,,The Art of Profitability,6.0,Online,Adrian Slywotzky
319,2019-10-13,,A Technique for Producing Ideas,6.0,Online,James Webb Young
320,2019-08-07,3.0,The 10X Rule,8.0,Online,Grant Cardone
321,2019-09-08,1.0,A Technique for Producing Ideas,4.0,Online,James Webb Young
323,2019-09-18,5.0,10% Happier,6.0,In-Person,Dan Harris
325,2019-06-17,,A Technique for Producing Ideas,2.0,Online,James Webb Young
326,2019-10-14,,A Technique for Producing Ideas,5.0,In-Person,James Webb Young
327,2019-02-28,5.0,A Technique for Producing Ideas,6.0,Online,James Webb Young
328,2019-03-27,3.0,The 10X Rule,1.0,In-Person,Grant Cardone
329,2019-09-24,4.0,The Art of Profitability,8.0,Online,Adrian Slywotzky
330,2019-06-09,3.0,A Technique for Producing Ideas,0.0,Online,James Webb Young
331,2019-08-13,4.0,A Technique for Producing Ideas,4.0,Online,James Webb Young
332,2019-01-27,,A Technique for Producing Ideas,3.0,In-Person,James Webb Young
333,2019-02-03,5.0,10% Happier,3.0,Online,Dan Harris
334,2019-07-28,,A Technique for Producing Ideas,2.0,Online,James Webb Young
338,2019-03-17,5.0,A Technique for Producing Ideas,2.0,In-Person,James Webb Young
339,2019-05-05,5.0,The 10X Rule,4.0,Online,Grant Cardone
340,2019-11-30,4.0,A Technique for Producing Ideas,3.0,Online,James Webb Young
342,2019-03-07,3.0,10% Happier,2.0,Online,Dan Harris
343,2019-03-09,3.0,The Art of Profitability,3.0,Online,Adrian Slywotzky
345,2019-01-12,4.0,The 10X Rule,5.0,Online,Grant Cardone
346,2019-04-02,,The 10X Rule,4.0,In-Person,Grant Cardone
347,2019-06-04,4.0,10% Happier,5.0,In-Person,Dan Harris
349,2019-12-04,4.0,The Art of Profitability,7.0,In-Person,Adrian Slywotzky
350,2019-05-27,,A Technique for Producing Ideas,5.0,Online,James Webb Young
351,2019-06-27,4.0,A Technique for Producing Ideas,6.0,Online,James Webb Young
352,2019-10-31,4.0,A Technique for Producing Ideas,4.0,Online,James Webb Young
353,2019-01-05,3.0,A Technique for Producing Ideas,5.0,Online,James Webb Young
354,2019-09-27,3.0,The Art of Profitability,6.0,Online,Adrian Slywotzky
355,2019-01-17,4.0,The Art of Profitability,8.0,Online,Adrian Slywotzky
356,2019-01-30,4.0,The Art of Profitability,6.0,Online,Adrian Slywotzky
357,2019-04-16,3.0,A Technique for Producing Ideas,3.0,Online,James Webb Young
358,2019-01-15,,The Art of Profitability,2.0,Online,Adrian Slywotzky
359,2019-03-10,5.0,10% Happier,4.0,In-Person,Dan Harris
360,2019-12-09,1.0,The 10X Rule,3.0,Online,Grant Cardone
362,2019-12-24,,The 10X Rule,0.0,Online,Grant Cardone
363,2019-12-25,4.0,10% Happier,6.0,In-Person,Dan Harris
364,2019-03-05,5.0,The 10X Rule,4.0,Online,Grant Cardone
365,2019-03-19,,A Technique for Producing Ideas,2.0,In-Person,James Webb Young
366,2019-01-18,5.0,The 10X Rule,1.0,Online,Grant Cardone
368,2019-06-23,5.0,The 10X Rule,5.0,Online,Grant Cardone
369,2019-06-17,5.0,10% Happier,1.0,Online,Dan Harris
370,2019-02-01,3.0,The 10X Rule,6.0,Online,Grant Cardone
371,2019-06-24,3.0,The 10X Rule,2.0,Online,Grant Cardone
372,2019-10-12,1.0,A Technique for Producing Ideas,8.0,In-Person,James Webb Young
373,2019-05-23,2.0,The 10X Rule,3.0,In-Person,Grant Cardone
374,2019-12-12,3.0,10% Happier,5.0,Online,Dan Harris
375,2019-08-20,5.0,10% Happier,5.0,Online,Dan Harris
376,2019-10-03,4.0,The Art of Profitability,5.0,Online,Adrian Slywotzky
377,2019-01-06,5.0,A Technique for Producing Ideas,8.0,Online,James Webb Young
378,2019-04-11,5.0,A Technique for Producing Ideas,2.0,In-Person,James Webb Young
379,2019-05-08,5.0,The 10X Rule,3.0,In-Person,Grant Cardone
380,2019-07-05,5.0,The 10X Rule,3.0,Online,Grant Cardone
382,2019-07-27,2.0,The Art of Profitability,3.0,In-Person,Adrian Slywotzky
383,2019-07-16,5.0,A Technique for Producing Ideas,5.0,Online,James Webb Young
384,2019-02-17,2.0,The 10X Rule,1.0,Online,Grant Cardone
385,2019-03-23,4.0,The Art of Profitability,5.0,Online,Adrian Slywotzky
386,2019-06-07,3.0,A Technique for Producing Ideas,4.0,Online,James Webb Young
387,2019-03-08,,A Technique for Producing Ideas,2.0,Online,James Webb Young
388,2019-09-21,2.0,The 10X Rule,5.0,Online,Grant Cardone
390,2019-03-28,5.0,The Compound Effect,4.0,Online,Darren Hardy
391,2019-04-05,3.0,The Art of Profitability,4.0,In-Person,Adrian Slywotzky
392,2019-08-03,3.0,The 10X Rule,3.0,Online,Grant Cardone
393,2019-07-07,1.0,The 10X Rule,2.0,In-Person,Grant Cardone
394,2019-01-12,5.0,A Technique for Producing Ideas,2.0,Online,James Webb Young
396,2019-11-16,4.0,A Technique for Producing Ideas,3.0,Online,James Webb Young
397,2019-01-03,,The Art of Profitability,7.0,Online,Adrian Slywotzky
398,2019-11-08,,The 10X Rule,3.0,Online,Grant Cardone
399,2019-01-31,5.0,A Technique for Producing Ideas,2.0,In-Person,James Webb Young
400,2019-12-19,,The Art of Profitability,3.0,Online,Adrian Slywotzky
401,2019-08-03,1.0,A Technique for Producing Ideas,1.0,Online,James Webb Young
402,2019-01-13,5.0,A Technique for Producing Ideas,5.0,Online,James Webb Young
403,2019-03-03,,A Technique for Producing Ideas,2.0,Online,James Webb Young
404,2019-08-11,4.0,10% Happier,7.0,Online,Dan Harris
405,2019-11-13,4.0,The 10X Rule,7.0,Online,Grant Cardone
406,2019-08-02,4.0,The 10X Rule,3.0,Online,Grant Cardone
407,2019-07-16,,A Technique for Producing Ideas,3.0,Online,James Webb Young
408,2019-03-15,5.0,A Technique for Producing Ideas,4.0,Online,James Webb Young
409,2019-05-13,,The Art of Profitability,3.0,In-Person,Adrian Slywotzky
410,2019-05-16,2.0,The Art of Profitability,4.0,Online,Adrian Slywotzky
411,2019-11-24,4.0,A Technique for Producing Ideas,9.0,In-Person,James Webb Young
413,2019-11-29,5.0,10% Happier,4.0,Online,Dan Harris
414,2019-02-04,4.0,A Technique for Producing Ideas,3.0,Online,James Webb Young
415,2019-07-23,4.0,The 10X Rule,5.0,Online,Grant Cardone
416,2019-05-03,,A Technique for Producing Ideas,4.0,Online,James Webb Young
417,2019-02-04,1.0,10% Happier,4.0,Online,Dan Harris
418,2019-04-05,5.0,A Technique for Producing Ideas,3.0,Online,James Webb Young
419,2019-02-20,4.0,10% Happier,3.0,Online,Dan Harris
420,2019-05-17,,The 10X Rule,7.0,Online,Grant Cardone
421,2019-06-25,5.0,The 10X Rule,5.0,Online,Grant Cardone
